State,Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
Colorado,2020,General,PUEBLO,3034651074,761,80,841,537,63.85%
Colorado,2020,General,PUEBLO,3034651075,898,92,990,669,67.58%
Colorado,2020,General,PUEBLO,3034651076,478,42,520,364,70.00%
Colorado,2020,General,PUEBLO,3034651077,554,103,657,364,55.40%
Colorado,2020,General,PUEBLO,3034651078,639,73,712,477,66.99%
Colorado,2020,General,PUEBLO,3034651079,684,94,778,475,61.05%
Colorado,2020,General,PUEBLO,3034651080,915,80,995,756,75.98%
Colorado,2020,General,PUEBLO,3034651081,796,64,860,616,71.63%
Colorado,2020,General,PUEBLO,3034651082,1451,73,1524,1178,77.30%
Colorado,2020,General,PUEBLO,3034651083,803,39,842,642,76.25%
Colorado,2020,General,PUEBLO,3034651084,894,51,945,737,77.99%
Colorado,2020,General,PUEBLO,3034651085,725,69,794,594,74.81%
Colorado,2020,General,PUEBLO,3034651086,1050,109,1159,878,75.75%
Colorado,2020,General,PUEBLO,3034651087,911,25,936,824,88.03%
Colorado,2020,General,PUEBLO,3034651088,1518,54,1572,1381,87.85%
Colorado,2020,General,PUEBLO,3034651209,1121,53,1174,1013,86.29%
Colorado,2020,General,PUEBLO,3034651210,554,63,617,458,74.23%
Colorado,2020,General,PUEBLO,3034651211,1113,87,1200,929,77.42%
Colorado,2020,General,PUEBLO,3034651212,894,112,1006,708,70.38%
Colorado,2020,General,PUEBLO,3034651213,1412,86,1498,1286,85.85%
Colorado,2020,General,PUEBLO,3034651214,1675,172,1847,1430,77.42%
Colorado,2020,General,PUEBLO,3034651215,1287,73,1360,1129,83.01%
Colorado,2020,General,PUEBLO,3034651216,965,69,1034,863,83.46%
Colorado,2020,General,PUEBLO,3034651217,769,55,824,685,83.13%
Colorado,2020,General,PUEBLO,3034651218,1395,94,1489,1260,84.62%
Colorado,2020,General,PUEBLO,3034651219,1267,63,1330,1133,85.19%
Colorado,2020,General,PUEBLO,3034651220,1188,98,1286,1056,82.12%
Colorado,2020,General,PUEBLO,3034751001,1579,215,1794,1323,73.75%
