district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Denver - Jefferson,45264,32747,17474,11154,0,28628,1,0,1,0
2,Denver,73883,54684,34422,12550,0,46972,1,0,1,0
3,Arapahoe,59328,44861,22016,19892,0,41908,1,0,0,0
4,Denver,52835,38058,25224,7577,0,32801,1,0,1,0
5,Denver,62164,39130,26130,7668,0,33798,1,0,1,0
6,Denver,62727,48704,32624,0,0,32624,1,0,1,0
7,Denver,52993,37560,28557,0,0,28557,1,0,1,0
8,Denver,70188,50675,38101,6822,0,44923,1,0,1,0
9,Arapahoe - Denver,60675,44495,25709,13328,0,39037,1,0,1,0
10,Boulder,73000,49594,35984,0,0,35984,1,0,1,0
11,Boulder,60747,46032,25327,16749,0,42076,1,0,1,0
12,Boulder,63951,50302,29663,15906,0,45569,1,0,1,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,73702,51995,34114,0,0,34114,1,0,1,0
14,El Paso,62579,48064,12077,31766,0,43843,0,1,0,1
15,El Paso,57257,41120,11962,25239,0,37201,0,1,0,1
16,El Paso,58297,42443,0,26225,10262,36487,0,1,0,1
17,El Paso,44206,24759,11445,9613,2116,23174,1,0,0,0
18,El Paso,62868,43133,21145,15556,2972,39673,1,0,0,0
19,El Paso,67736,54364,10258,40011,0,50269,0,1,0,1
20,El Paso,59235,45021,12461,26517,2425,41403,0,1,0,1
21,El Paso,45151,28745,0,17358,7904,25262,0,1,0,1
22,Jefferson,61027,49875,0,26311,17207,43518,0,1,0,1
23,Jefferson,61953,46488,23872,18850,0,42722,1,0,0,0
24,Jefferson,60828,46788,24103,18191,0,42294,1,0,0,0
25,Jefferson,66304,54467,24381,26232,0,50613,0,1,0,0
26,Eagle - Routt,54916,40391,22442,14498,0,36940,1,0,1,0
27,Jefferson,65948,53982,20098,26554,2966,49618,0,1,0,0
28,Jefferson,57230,43359,22431,14522,3402,40355,1,0,0,0
29,Jefferson,56425,43274,21701,18072,0,39773,1,0,0,0
30,Adams,45971,32431,15844,13395,0,29239,1,0,0,0
31,Adams,49392,36293,18452,14861,0,33313,1,0,0,0
32,Adams,40085,27427,15746,8710,0,24456,1,0,1,0
33,Boulder - Broomfield,67452,52671,25268,20197,2982,48447,1,0,0,0
34,Adams,46632,33214,14865,13061,1802,29728,1,0,0,0
35,Adams,53533,39851,20198,15660,0,35858,1,0,0,0
36,Arapahoe,53549,37734,19423,15708,0,35131,1,0,0,0
37,Arapahoe,59612,46644,19516,23518,0,43034,0,1,0,0
38,Arapahoe,66552,54973,21380,29316,0,50696,0,1,0,0
39,Douglas - Teller,63904,51550,13478,33472,0,46950,0,1,0,1
40,Arapahoe,55798,40170,21391,15691,0,37082,1,0,0,0
41,Arapahoe,53662,37852,20933,13874,0,34807,1,0,1,0
42,Arapahoe,41604,25239,16103,7265,0,23368,1,0,1,0
43,Douglas,59539,48783,17483,26595,0,44078,0,1,0,1
44,Douglas,64928,51220,16250,29710,0,45960,0,1,0,1
45,Douglas,69365,55682,15109,35321,0,50430,0,1,0,1
46,Pueblo,59020,42505,29797,0,0,29797,1,0,1,0
47,Fremont - Otero - Pueblo,55514,39683,15891,21714,0,37605,0,1,0,0
48,Weld,61547,48968,14168,30417,0,44585,0,1,0,1
49,Larimer - Weld,74482,61570,21210,35412,0,56622,0,1,0,1
50,Weld,44240,28788,14803,10479,1401,26683,1,0,0,0
51,Larimer,64575,51096,18642,28823,0,47465,0,1,0,1
52,Larimer,66949,52505,25876,21428,0,47304,1,0,0,0
53,Larimer,64949,48333,30594,0,0,30594,1,0,1,0
54,Delta - Mesa,59843,42138,0,28790,8563,37353,0,1,0,1
55,Mesa,63643,42937,0,31732,0,31732,0,1,0,1
56,Adams - Arapahoe,63041,50100,16228,26858,2747,45833,0,1,0,0
57,Garfield - Moffat - Rio Blanco,49707,37302,0,26002,0,26002,0,1,0,1
58,Dolores - Montezuma - Montrose - San Miguel,55603,40675,0,28195,0,28195,0,1,0,1
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,67582,48632,23336,22661,0,45997,1,0,0,0
60,Chaffee - Custer - Fremont - Park,58818,44396,12406,26246,2651,41303,0,1,0,1
61,Delta - Gunnison - Lake - Pitkin - Summit,69407,47711,24562,19208,0,43770,1,0,0,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,54221,37402,19720,15805,0,35525,1,0,0,0
63,Weld,61265,48280,13651,26952,3678,44281,0,1,0,1
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,52932,40336,9108,27952,0,37060,0,1,0,1
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,46970,35727,6797,25965,0,32762,0,1,0,1
