district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
4,Douglas,123851,99340,27779,62981,0,90760,0,1,0,1
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,109469,78097,32530,39526,0,72056,0,1,0,0
10,El Paso,108792,79571,24430,47832,0,72262,0,1,0,1
12,El Paso,99601,69685,0,45938,15071,61009,0,1,0,1
14,Larimer,123636,94244,52902,32886,0,85788,1,0,1,0
17,Boulder,113723,87334,57649,0,0,57649,1,0,1,0
18,Boulder,138481,96750,67799,17370,0,85169,1,0,1,0
19,Jefferson,109881,86231,39070,37592,5112,81774,1,0,0,0
21,Adams,82490,57508,38428,352,0,38780,1,0,1,0
23,Broomfield - Larimer - Weld,130395,104675,40281,55528,0,95809,0,1,0,0
25,Adams,87100,62734,27678,30074,0,57752,0,1,0,0
26,Arapahoe,111841,83698,42145,36666,0,78811,1,0,0,0
27,Arapahoe,110010,87965,38489,44169,0,82658,0,1,0,0
28,Arapahoe,103115,75265,39143,31096,0,70239,1,0,0,0
29,Arapahoe,90676,60944,30998,22503,3698,57199,1,0,0,0
31,Arapahoe - Denver,126671,93908,57793,25268,0,83061,1,0,1,0
33,Denver,114270,78099,57049,12564,0,69613,1,0,1,0
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,93446,68202,23358,38880,2668,64906,0,1,0,0
