district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,262394,95653,8000
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,252995,162613,9943
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,147165,169823,10819
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,139286,214042,11509
5,Chaffee - El Paso - Fremont - Park - Teller,121274,187493,10982
6,Adams - Arapahoe - Douglas,181013,149486,8721
7,Adams - Jefferson,188154,132531,10501
