district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,14101,50119,2056
2,Clear Creek - El Paso - Fremont - Park - Teller,21536,41578,2688
3,Pueblo,29611,24923,2151
4,Douglas,30857,56634,2820
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,37224,29466,2265
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,32912,38320,2238
7,Mesa,21350,42843,2258
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,32996,32030,2259
9,El Paso,26562,59306,2735
10,El Paso,24014,38309,2603
11,El Paso,25962,17403,2257
12,El Paso,21124,32679,2311
13,Weld,22808,31200,2302
14,Larimer,51387,27005,2609
15,Larimer,36564,44322,2887
16,Boulder - Denver - Gilpin - Jefferson,44802,37225,2703
17,Boulder,53416,24488,2435
18,Boulder,69823,13912,1816
19,Jefferson,39329,33794,2770
20,Jefferson,48362,40412,3015
21,Adams,28078,16779,2020
22,Jefferson,38555,32114,2513
23,Broomfield - Larimer - Weld,42311,52036,3299
24,Adams,35010,30187,2541
25,Adams,26316,25247,2097
26,Arapahoe,41049,29539,2104
27,Arapahoe,38695,36344,1987
28,Arapahoe,35853,25448,2137
29,Arapahoe,29182,20820,1742
30,Douglas,34600,47246,2250
31,Arapahoe - Denver,62228,19616,2100
32,Denver,55110,18486,2031
33,Denver,58125,10025,1743
34,Denver,52373,11725,2094
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,23239,33177,1897
