district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,254586,84046,15617
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,247466,145880,20017
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,141660,157676,15913
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,130706,204721,18142
5,Chaffee - El Paso - Fremont - Park - Teller,116524,177991,16921
6,Adams - Arapahoe - Douglas,174974,138506,15533
7,Adams - Jefferson,180402,123173,18571
