district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,264746,96069,7540
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,261558,159045,9248
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,151225,169285,9936
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,142092,214285,10477
5,Chaffee - El Paso - Fremont - Park - Teller,120277,192364,9420
6,Adams - Arapahoe - Douglas,183835,150021,8181
7,Adams - Jefferson,189983,132858,10190
