district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,264241,94253,10312
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,259030,158172,12763
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,148084,171097,10882
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,133881,219922,12640
5,Chaffee - El Paso - Fremont - Park - Teller,119938,189351,12535
6,Adams - Arapahoe - Douglas,176694,154553,10173
7,Adams - Jefferson,183596,137409,12428
