district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Denver - Jefferson,45965,28206,17400,8687,1099,27186,1,0,1,0
2,Denver,74466,51119,40121,0,0,40121,1,0,1,0
3,Arapahoe,60327,40034,23457,14891,0,38348,1,0,1,0
4,Denver,54875,34753,27564,5756,0,33320,1,0,1,0
5,Denver,66832,35869,27131,6136,1061,34328,1,0,1,0
6,Denver,63095,45379,32899,0,0,32899,1,0,1,0
7,Denver,56884,34102,27272,5338,0,32610,1,0,1,0
8,Denver,70401,47142,39517,0,0,39517,1,0,1,0
9,Arapahoe - Denver,61126,39703,27265,10666,0,37931,1,0,1,0
10,Boulder,65335,44387,36310,5513,0,41823,1,0,1,0
11,Boulder,59544,42852,27545,13394,0,40939,1,0,1,0
12,Boulder,63305,47978,30880,0,11110,41990,1,0,1,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,68907,47058,32499,11929,0,44428,1,0,1,0
14,El Paso,66269,42580,12787,27765,0,40552,0,1,0,1
15,El Paso,61197,34655,12874,20499,0,33373,0,1,0,1
16,El Paso,58930,35326,12484,20177,1360,34021,0,1,0,0
17,El Paso,45286,19186,11037,7745,0,18782,1,0,0,0
18,El Paso,64017,37135,20778,12853,2489,36120,1,0,0,0
19,El Paso,72900,50105,11667,36828,0,48495,0,1,0,1
20,El Paso,59502,38964,13881,23479,0,37360,0,1,0,1
21,El Paso,46506,21970,8863,12529,0,21392,0,1,0,0
22,Jefferson,61512,44986,19939,23064,0,43003,0,1,0,0
23,Jefferson,63587,42056,25414,15011,0,40425,1,0,1,0
24,Jefferson,61691,42800,25987,14945,0,40932,1,0,1,0
25,Jefferson,67983,51121,25968,23267,0,49235,1,0,0,0
26,Eagle - Routt,57213,36309,20761,12584,1039,34384,1,0,1,0
27,Jefferson,69534,51408,24957,24518,0,49475,1,0,0,0
28,Jefferson,58972,39124,22286,14419,1265,37970,1,0,0,0
29,Jefferson,58117,39151,22100,14169,1637,37906,1,0,0,0
30,Adams,50409,29450,16239,11729,0,27968,1,0,0,0
31,Adams,50972,30850,16242,11397,1883,29522,1,0,0,0
32,Adams,42136,22523,16644,0,0,16644,1,0,1,0
33,Boulder - Broomfield,70407,50495,27833,17332,3414,48579,1,0,0,0
34,Adams,47727,27744,16039,10565,0,26604,1,0,1,0
35,Adams,55540,35579,20272,12645,1251,34168,1,0,0,0
36,Arapahoe,55732,32356,18994,12140,0,31134,1,0,1,0
37,Arapahoe,60814,41602,21686,18451,0,40137,1,0,0,0
38,Arapahoe,67015,50189,23790,24164,0,47954,0,1,0,0
39,Douglas - Teller,67889,48726,16167,29289,1325,46781,0,1,0,1
40,Arapahoe,56750,34387,20731,12146,0,32877,1,0,1,0
41,Arapahoe,53842,32464,19773,10923,0,30696,1,0,1,0
42,Arapahoe,41822,20522,14419,5240,0,19659,1,0,1,0
43,Douglas,60969,44809,19027,22764,874,42665,0,1,0,0
44,Douglas,69860,47116,18741,25654,0,44395,0,1,0,0
45,Douglas,74645,52371,18581,30865,0,49446,0,1,0,1
46,Pueblo,58658,36023,20556,14436,0,34992,1,0,0,0
47,Fremont - Otero - Pueblo,55665,33544,16324,16003,0,32327,1,0,0,0
48,Weld,66539,46216,13967,29393,0,43360,0,1,0,1
49,Larimer - Weld,81176,59962,23312,33867,0,57179,0,1,0,0
50,Weld,45527,24042,12159,10624,0,22783,1,0,0,0
51,Larimer,67001,46164,19320,24745,0,44065,0,1,0,0
52,Larimer,70392,48590,29708,16614,0,46322,1,0,1,0
53,Larimer,64292,41120,29904,0,0,29904,1,0,1,0
54,Delta - Mesa,61660,35880,0,22236,11449,33685,0,1,0,1
55,Mesa,65832,37572,13401,22470,0,35871,0,1,0,1
56,Adams - Arapahoe,69868,48097,18674,25702,1542,45918,0,1,0,0
57,Garfield - Moffat - Rio Blanco,52365,33151,12016,19691,0,31707,0,1,0,1
58,Dolores - Montezuma - Montrose - San Miguel,57094,36562,12972,21912,0,34884,0,1,0,1
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,70317,44321,23273,0,18273,41546,1,0,0,0
60,Chaffee - Custer - Fremont - Park,61360,40600,14426,23468,1343,39237,0,1,0,0
61,Delta - Gunnison - Lake - Pitkin - Summit,70541,42961,26063,14915,0,40978,1,0,1,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,54691,32273,17752,13512,0,31264,1,0,0,0
63,Weld,66945,45418,15346,25816,2060,43222,0,1,0,0
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,55179,36209,8651,26149,0,34800,0,1,0,1
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,47704,31438,7065,22746,0,29811,0,1,0,1
