district,counties,democrat,republican,other
1,Adams,93449,69465,8321
2,Alamosa,3039,2696,305
3,Arapahoe,155056,106833,9251
4,Archuleta,2800,3736,240
5,Baca,331,1454,88
6,Bent,638,1094,139
7,Boulder,133116,38423,4723
8,Chaffee,5461,5018,454
9,Cheyenne,138,809,33
10,Clear Creek,2932,2215,229
11,Conejos,1652,1756,133
12,Costilla,1012,510,87
13,Crowley,400,888,100
14,Custer,895,1869,99
15,Delta,4817,9699,610
16,Denver,238762,60151,9605
17,Dolores,270,868,46
18,Douglas,71573,99123,5945
19,Eagle,13802,7804,720
20,Elbert,3242,10859,517
21,El Paso,109154,155006,12132
22,Fremont,6022,12574,985
23,Garfield,11791,11436,831
24,Gilpin,1809,1407,152
25,Grand,3596,3837,312
26,Gunnison,5526,2927,332
27,Hinsdale,218,318,20
28,Huerfano,1798,1647,166
29,Jackson,176,564,38
30,Jefferson,166455,127038,12504
31,Kiowa,94,638,35
32,Kit Carson,547,2417,125
33,Lake,1678,998,194
34,La Plata,15859,11727,798
35,Larimer,98361,75002,6273
36,Las Animas,2949,3008,282
37,Lincoln,358,1619,97
38,Logan,1867,6349,372
39,Mesa,23873,41193,2500
40,Mineral,259,319,24
41,Moffat,946,4228,203
42,Montezuma,4403,6933,378
43,Montrose,5855,12466,616
44,Morgan,2844,7329,460
45,Otero,2913,4076,449
46,Ouray,1868,1237,87
47,Park,3645,5452,425
48,Phillips,397,1583,76
49,Pitkin,7244,2354,232
50,Prowers,1090,2898,162
51,Pueblo,33674,29545,3237
52,Rio Blanco,488,2473,92
53,Rio Grande,1912,2795,224
54,Routt,8163,4787,407
55,Saguache,1529,1014,127
56,San Juan,271,167,12
57,San Miguel,3047,923,115
58,Sedgwick,290,859,60
59,Summit,9499,4243,487
60,Teller,3986,8409,481
61,Washington,294,2004,91
62,Weld,46653,72886,5833
63,Yuma,697,3264,141
64,Broomfield,21405,13582,1161
