district,counties,democrat,republican,other
1,Cheyenne - Elbert - Kit Carson - Lincoln - Logan - Morgan - Phillips - Sedgwick - Washington - Weld - Yuma,14644,49760,2747
2,Clear Creek - El Paso - Fremont - Park - Teller,22771,40403,3258
3,Pueblo,30374,23973,2850
4,Douglas,33538,54419,3389
5,Chaffee - Delta - Eagle - Gunnison - Hinsdale - Lake - Pitkin,38746,29118,2562
6,Archuleta - Dolores - La Plata - Montezuma - Montrose - Ouray - San Juan - San Miguel,34373,38057,2292
7,Mesa,23873,41193,2500
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,34659,31568,2370
9,El Paso,28605,57932,2882
10,El Paso,25429,37081,2931
11,El Paso,26677,16717,2483
12,El Paso,22257,31523,2698
13,Weld,23693,30590,2914
14,Larimer,54672,25144,2557
15,Larimer,38871,42630,3378
16,Boulder - Denver - Gilpin - Jefferson,47331,35538,3037
17,Boulder,55639,23205,2688
18,Boulder,71855,13183,1813
19,Jefferson,41833,31798,3524
20,Jefferson,51404,38148,3681
21,Adams,28834,16143,2690
22,Jefferson,40915,30213,3165
23,Broomfield - Larimer - Weld,45213,50438,3643
24,Adams,37074,28851,3027
25,Adams,27541,24471,2604
26,Arapahoe,43030,28094,2392
27,Arapahoe,41601,34180,2196
28,Arapahoe,37647,23975,2484
29,Arapahoe,30348,19785,2064
30,Douglas,38035,44704,2556
31,Arapahoe - Denver,64178,18103,2391
32,Denver,56484,17419,2427
33,Denver,59281,9160,2096
34,Denver,53652,11051,2277
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,23811,32234,2807
