district,counties,democrat,republican,other
1,Denver - Jefferson,17268,9320,986
2,Denver,39217,9407,1238
3,Arapahoe,22149,15855,1093
4,Denver,26839,5972,1052
5,Denver,27442,6268,1196
6,Denver,31795,11838,882
7,Denver,26715,5776,859
8,Denver,39674,5471,1041
9,Arapahoe - Denver,26283,11423,1139
10,Boulder,36518,5781,923
11,Boulder,26225,14081,1377
12,Boulder,32690,12727,1200
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,32569,11815,1312
14,El Paso,13218,27049,1405
15,El Paso,11913,20582,1452
16,El Paso,13281,19901,1392
17,El Paso,9897,7875,1068
18,El Paso,20669,14230,1505
19,El Paso,11510,35973,1631
20,El Paso,14626,22268,1239
21,El Paso,8436,12044,1092
22,Jefferson,18737,23426,1325
23,Jefferson,23270,16052,1527
24,Jefferson,24503,15467,1457
25,Jefferson,24222,23898,1497
26,Eagle - Routt,20990,12709,1047
27,Jefferson,24051,24122,1611
28,Jefferson,21144,15492,1305
29,Jefferson,20624,15845,1472
30,Adams,15443,11779,1084
31,Adams,15901,12678,1202
32,Adams,13837,6939,964
33,Boulder - Broomfield,28642,18730,1484
34,Adams,14594,11086,1148
35,Adams,19354,13805,1257
36,Arapahoe,17960,12622,1028
37,Arapahoe,20555,18993,1061
38,Arapahoe,23499,24100,1312
39,Douglas - Teller,15624,30474,1319
40,Arapahoe,19002,13295,1215
41,Arapahoe,19974,10743,999
42,Arapahoe,13868,5397,768
43,Douglas,18558,23705,1115
44,Douglas,17773,26284,1501
45,Douglas,17240,32017,1534
46,Pueblo,17546,16332,1258
47,Fremont - Otero - Pueblo,13707,17795,1187
48,Weld,13896,28893,1585
49,Larimer - Weld,22841,33372,1801
50,Weld,11132,10709,1100
51,Larimer,18628,24289,1623
52,Larimer,28527,16990,1460
53,Larimer,26275,12115,1314
54,Delta - Mesa,9225,24271,1225
55,Mesa,13264,21783,1207
56,Adams - Arapahoe,18047,27072,1497
57,Garfield - Moffat - Rio Blanco,12864,18190,1030
58,Dolores - Montezuma - Montrose - San Miguel,12787,21535,1031
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,22508,18687,1424
60,Chaffee - Custer - Fremont - Park,14460,23338,1533
61,Delta - Gunnison - Lake - Pitkin - Summit,24083,15941,1349
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,16127,13985,1080
63,Weld,15587,26535,1748
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9022,24946,1112
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,6639,22665,855
