district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,215385,92689,22277
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,203720,151304,35033
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,139130,155399,27626
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,113254,180352,27094
5,Chaffee - El Paso - Fremont - Park - Teller,106769,172329,25035
6,Adams - Arapahoe - Douglas,154439,147610,22646
7,Adams - Jefferson,159467,123975,27754
