district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,254400,106334,8066
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,255209,174095,11348
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,163886,185459,8700
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,139697,208282,8105
5,Chaffee - El Paso - Fremont - Park - Teller,129903,200491,8750
6,Adams - Arapahoe - Douglas,183731,166203,6943
7,Adams - Jefferson,196276,144379,9265
