district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,166869,90381,15590
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,167144,146696,21649
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,103551,152632,16379
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,82112,181737,16786
5,Chaffee - El Paso - Fremont - Park - Teller,75996,166978,15500
6,Adams - Arapahoe - Douglas,112452,141101,15636
7,Adams - Jefferson,118058,123101,19205
