district,counties,democrat,republican,other
1,Denver - Jefferson,12405,8457,1125
2,Denver,23376,9747,1664
3,Arapahoe,14321,15328,1607
4,Denver,17936,5424,1308
5,Denver,14561,5023,1179
6,Denver,22173,12273,1163
7,Denver,16770,4583,813
8,Denver,27346,5649,1437
9,Arapahoe - Denver,17696,11095,1379
10,Boulder,24017,7410,1572
11,Boulder,17236,14187,1965
12,Boulder,21136,13225,1976
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,22884,12258,1986
14,El Paso,7511,22921,1395
15,El Paso,6927,16913,1452
16,El Paso,9587,18890,1482
17,El Paso,6508,6826,957
18,El Paso,14534,13036,1797
19,El Paso,7452,29367,1837
20,El Paso,10283,20792,1473
21,El Paso,5874,10051,1026
22,Jefferson,13918,21500,1791
23,Jefferson,16657,14670,2252
24,Jefferson,17080,14572,2302
25,Jefferson,16888,22167,2262
26,Eagle - Routt,12872,11883,1371
27,Jefferson,16335,20753,2232
28,Jefferson,15126,13594,1779
29,Jefferson,14166,14323,2094
30,Adams,9443,8960,1141
31,Adams,11064,10629,1405
32,Adams,9334,5674,998
33,Boulder - Broomfield,16803,17368,2094
34,Adams,10040,9538,1253
35,Adams,13095,12138,1542
36,Arapahoe,11642,10745,1286
37,Arapahoe,13692,18521,1514
38,Arapahoe,17248,23474,1842
39,Douglas - Teller,10910,25268,1787
40,Arapahoe,13393,12397,1607
41,Arapahoe,14330,10149,1227
42,Arapahoe,9907,4939,887
43,Douglas,12124,21342,1453
44,Douglas,10337,21150,1687
45,Douglas,10319,25718,1781
46,Pueblo,15661,14294,1247
47,Fremont - Otero - Pueblo,12337,15720,1268
48,Weld,10506,20761,1499
49,Larimer - Weld,15799,25382,2157
50,Weld,7754,7858,1013
51,Larimer,13717,20867,2049
52,Larimer,19298,15475,1846
53,Larimer,18153,11979,1917
54,Delta - Mesa,7526,20449,1750
55,Mesa,9564,18648,1507
56,Adams - Arapahoe,11511,20169,1661
57,Garfield - Moffat - Rio Blanco,9101,15214,1373
58,Dolores - Montezuma - Montrose - San Miguel,9548,17894,1447
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,14989,16309,1743
60,Chaffee - Custer - Fremont - Park,11294,19080,1876
61,Delta - Gunnison - Lake - Pitkin - Summit,16501,14716,1858
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,14775,11610,1211
63,Weld,10363,18860,1732
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,9157,20385,1470
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,7627,18684,1022
