district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,172430,88849,12735
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,174546,146992,18361
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,112263,147176,13498
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,95026,174400,14235
5,Chaffee - El Paso - Fremont - Park - Teller,81972,163241,13801
6,Adams - Arapahoe - Douglas,119081,138139,12787
7,Adams - Jefferson,127119,120484,16409
