district,counties,democrat,republican,other
1,Denver - Jefferson,13327,8192,1166
2,Denver,28061,7190,1543
3,Arapahoe,17892,13536,1321
4,Denver,20287,4422,1257
5,Denver,16618,3967,1135
6,Denver,26363,9746,1022
7,Denver,18236,3933,726
8,Denver,30771,3862,1384
9,Arapahoe - Denver,20268,9700,1351
10,Boulder,27515,5159,2409
11,Boulder,19447,13062,2073
12,Boulder,24520,11746,1844
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,26202,10609,2431
14,El Paso,8961,22942,1277
15,El Paso,7630,17135,1490
16,El Paso,10583,18929,1735
17,El Paso,6571,6908,1246
18,El Paso,16114,12700,2004
19,El Paso,8545,29867,1675
20,El Paso,12266,20464,1313
21,El Paso,6008,10195,1320
22,Jefferson,17000,20345,1492
23,Jefferson,19117,13787,1961
24,Jefferson,20145,13544,1742
25,Jefferson,20984,20473,1622
26,Eagle - Routt,16345,10454,1085
27,Jefferson,19493,19642,1683
28,Jefferson,17110,12873,1555
29,Jefferson,16264,13655,1786
30,Adams,10228,8981,1071
31,Adams,11944,10625,1352
32,Adams,9645,5776,1081
33,Boulder - Broomfield,20061,15797,1676
34,Adams,11118,9199,1292
35,Adams,14954,11636,1332
36,Arapahoe,12551,10707,1162
37,Arapahoe,16799,17136,1154
38,Arapahoe,21528,21363,1386
39,Douglas - Teller,13312,24599,1499
40,Arapahoe,15016,11857,1413
41,Arapahoe,15587,9751,1148
42,Arapahoe,10263,4891,921
43,Douglas,15789,19634,996
44,Douglas,12964,20195,1261
45,Douglas,13363,24642,1235
46,Pueblo,16093,14171,1673
47,Fremont - Otero - Pueblo,12384,15830,1746
48,Weld,11380,20693,1428
49,Larimer - Weld,17861,24757,1851
50,Weld,8116,7728,1173
51,Larimer,15513,20139,1876
52,Larimer,21642,14477,1754
53,Larimer,20304,11110,2114
54,Delta - Mesa,8964,20256,1617
55,Mesa,11960,17722,1370
56,Adams - Arapahoe,12812,20251,1448
57,Garfield - Moffat - Rio Blanco,10127,15543,1299
58,Dolores - Montezuma - Montrose - San Miguel,10824,18035,1625
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,17618,15737,1757
60,Chaffee - Custer - Fremont - Park,11996,19485,1903
61,Delta - Gunnison - Lake - Pitkin - Summit,19467,13682,1711
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,14815,11948,1687
63,Weld,11109,18994,1606
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,8585,21767,1626
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,7098,20044,1086
