district,counties,democrat,republican,other
1,Adams,56257,60367,8866
2,Alamosa,2119,2540,291
3,Arapahoe,94426,108105,13083
4,Archuleta,1603,3207,335
5,Baca,379,1238,107
6,Bent,551,898,80
7,Boulder,84542,40672,8149
8,Chaffee,3330,4684,496
9,Cheyenne,116,830,57
10,Clear Creek,1947,2143,403
11,Conejos,1537,1748,106
12,Costilla,843,427,101
13,Crowley,321,885,67
14,Custer,623,1656,106
15,Delta,3192,9074,789
16,Denver,146543,62194,12312
17,Dolores,199,646,67
18,Douglas,38686,86715,6967
19,Eagle,7497,7543,1059
20,Elbert,2113,9154,837
21,El Paso,64406,141288,12750
22,Fremont,4387,11151,1181
23,Garfield,6936,10192,1230
24,Gilpin,1225,1293,260
25,Grand,2185,3806,457
26,Gunnison,3062,2838,491
27,Hinsdale,158,302,25
28,Huerfano,1391,1454,175
29,Jackson,118,534,29
30,Jefferson,102120,123367,17000
31,Kiowa,95,585,19
32,Kit Carson,415,2402,137
33,Lake,1105,994,196
34,La Plata,9922,10214,1150
35,Larimer,57798,71084,9338
36,Las Animas,2376,2652,289
37,Lincoln,317,1518,105
38,Logan,1443,5611,367
39,Mesa,15284,36574,3810
40,Mineral,179,336,38
41,Moffat,710,3734,295
42,Montezuma,2874,5768,582
43,Montrose,3831,11153,932
44,Morgan,1983,6152,441
45,Otero,2342,3839,294
46,Ouray,1145,1232,159
47,Park,2290,4873,642
48,Phillips,345,1462,79
49,Pitkin,4632,2256,402
50,Prowers,886,2788,171
51,Pueblo,27111,28156,2898
52,Rio Blanco,281,2176,144
53,Rio Grande,1389,2752,244
54,Routt,4623,4534,577
55,Saguache,1150,979,185
56,San Juan,201,184,39
57,San Miguel,1878,896,266
58,Sedgwick,219,829,70
59,Summit,5492,4376,742
60,Teller,2728,7474,748
61,Washington,242,1906,101
62,Weld,25713,55844,5534
63,Yuma,572,3317,158
64,Broomfield,11799,13025,1717
