district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,178008,78632,17707
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,180361,135282,24523
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,108116,142915,24253
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,92850,168006,22197
5,Chaffee - El Paso - Fremont - Park - Teller,72680,167288,21176
6,Adams - Arapahoe - Douglas,123400,129008,18680
7,Adams - Jefferson,130628,111457,22667
