district,counties,democrat,republican,other
1,Adams,59956,58483,7465
2,Alamosa,2523,2237,224
3,Arapahoe,100394,104968,10619
4,Archuleta,1908,3060,287
5,Baca,508,1173,79
6,Bent,638,842,68
7,Boulder,84023,43626,7086
8,Chaffee,3799,4319,430
9,Cheyenne,218,747,40
10,Clear Creek,2118,2059,346
11,Conejos,1735,1551,81
12,Costilla,950,367,59
13,Crowley,401,822,60
14,Custer,702,1609,87
15,Delta,3725,8607,680
16,Denver,150877,61366,9952
17,Dolores,273,597,48
18,Douglas,40663,86288,6055
19,Eagle,7931,7520,896
20,Elbert,2639,8851,733
21,El Paso,68676,138796,11419
22,Fremont,5094,10751,1032
23,Garfield,7730,9655,1001
24,Gilpin,1315,1259,223
25,Grand,2480,3644,356
26,Gunnison,3415,2678,398
27,Hinsdale,171,294,28
28,Huerfano,1536,1351,140
29,Jackson,165,506,32
30,Jefferson,110226,121674,14714
31,Kiowa,168,537,10
32,Kit Carson,659,2234,107
33,Lake,1254,917,161
34,La Plata,10072,10155,1051
35,Larimer,64502,68229,7593
36,Las Animas,2696,2446,235
37,Lincoln,441,1446,77
38,Logan,2188,5014,301
39,Mesa,16149,36355,3059
40,Mineral,251,278,28
41,Moffat,947,3509,258
42,Montezuma,3137,5496,486
43,Montrose,4193,10907,694
44,Morgan,2796,5525,342
45,Otero,2654,3606,241
46,Ouray,1242,1183,136
47,Park,2650,4565,526
48,Phillips,492,1349,53
49,Pitkin,4666,2323,339
50,Prowers,1249,2462,141
51,Pueblo,29079,26813,2399
52,Rio Blanco,424,2050,114
53,Rio Grande,1771,2394,202
54,Routt,4941,4363,475
55,Saguache,1323,863,153
56,San Juan,208,181,36
57,San Miguel,1945,894,219
58,Sedgwick,371,730,48
59,Summit,5770,4369,683
60,Teller,3027,7190,653
61,Washington,417,1806,67
62,Weld,31088,52953,4620
63,Yuma,903,3085,131
64,Broomfield,11975,13354,1550
