district,counties,democrat,republican,other
1,Adams,60830,54250,11039
2,Alamosa,2356,2212,468
3,Arapahoe,103537,97913,15780
4,Archuleta,1808,3000,396
5,Baca,363,1209,192
6,Bent,527,865,155
7,Boulder,89753,37278,8407
8,Chaffee,3743,4177,655
9,Cheyenne,140,761,100
10,Clear Creek,2170,1889,456
11,Conejos,1600,1564,248
12,Costilla,905,351,129
13,Crowley,318,829,148
14,Custer,660,1621,143
15,Delta,3450,8562,1173
16,Denver,155094,52872,14038
17,Dolores,238,568,116
18,Douglas,43705,81950,7641
19,Eagle,8244,6848,1272
20,Elbert,2620,8515,1082
21,El Paso,60461,143302,17118
22,Fremont,4374,10550,1860
23,Garfield,7655,9238,1656
24,Gilpin,1356,1135,300
25,Grand,2476,3561,512
26,Gunnison,3419,2476,620
27,Hinsdale,172,283,40
28,Huerfano,1438,1335,314
29,Jackson,162,483,48
30,Jefferson,114720,113386,19409
31,Kiowa,92,573,49
32,Kit Carson,541,2208,216
33,Lake,1245,840,257
34,La Plata,10255,9598,1834
35,Larimer,63332,65014,11460
36,Las Animas,2474,2436,481
37,Lincoln,386,1407,161
38,Logan,1811,5042,600
39,Mesa,15323,35153,5652
40,Mineral,240,273,49
41,Moffat,821,3483,461
42,Montezuma,2972,5392,954
43,Montrose,3929,10830,1379
44,Morgan,2433,5460,710
45,Otero,2255,3705,585
46,Ouray,1228,1141,185
47,Park,2682,4388,794
48,Phillips,378,1390,128
49,Pitkin,4705,2078,491
50,Prowers,1011,2527,326
51,Pueblo,27132,26498,4852
52,Rio Blanco,355,2052,217
53,Rio Grande,1579,2413,398
54,Routt,5043,4103,683
55,Saguache,1240,855,248
56,San Juan,210,169,48
57,San Miguel,1945,846,285
58,Sedgwick,304,720,119
59,Summit,5959,3975,869
60,Teller,2752,7147,1125
61,Washington,341,1781,144
62,Weld,29491,50807,7744
63,Yuma,794,3041,245
64,Broomfield,12491,12260,1939
