district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
1,Denver - Jefferson,45866,23045,11854,8109,1562,21525,1,0,0,0
2,Denver,76828,37342,24283,9162,0,33445,1,0,1,0
3,Arapahoe,55051,33135,15563,15118,0,30681,1,0,0,0
4,Denver,53460,26393,18593,5226,0,23819,1,0,1,0
5,Denver,57113,22164,15203,4769,0,19972,1,0,1,0
6,Denver,65393,37555,23822,0,0,23822,1,0,1,0
7,Denver,48612,23243,16953,3931,1111,21995,1,0,1,0
8,Denver,72557,36511,29197,4878,0,34075,1,0,1,0
9,Arapahoe - Denver,61126,31740,17968,10880,0,28848,1,0,1,0
10,Boulder,70779,35922,25385,0,0,25385,1,0,1,0
11,Boulder,57597,35092,18240,12340,2241,32821,1,0,0,0
12,Boulder,60300,38658,25562,0,0,25562,1,0,1,0
13,Boulder - Clear Creek - Gilpin - Grand - Jackson,72082,40045,24136,11541,0,35677,1,0,1,0
14,El Paso,57453,33680,7558,23429,0,30987,0,1,0,1
15,El Paso,51062,26710,7350,17053,0,24403,0,1,0,1
16,El Paso,55945,31809,9472,18892,0,28364,0,1,0,1
17,El Paso,40857,14994,6477,6766,1071,14314,0,1,0,0
18,El Paso,60365,31444,15998,12807,0,28805,1,0,0,0
19,El Paso,61675,40601,0,31519,0,31519,0,1,0,1
20,El Paso,56377,34580,0,23098,0,23098,0,1,0,1
21,El Paso,40819,17817,0,12318,0,12318,0,1,0,1
22,Jefferson,60920,39373,14748,20396,1693,36837,0,1,0,0
23,Jefferson,61554,35466,17109,13891,2324,33324,1,0,0,0
24,Jefferson,59627,35995,17501,15286,0,32787,1,0,0,0
25,Jefferson,65948,43654,17653,21300,1875,40828,0,1,0,0
26,Eagle - Routt,51738,28447,14281,11331,1060,26672,1,0,0,0
27,Jefferson,62876,41418,15407,21108,2213,38728,0,1,0,0
28,Jefferson,56090,32088,16356,13395,0,29751,1,0,0,0
29,Jefferson,56280,32230,14908,13329,2040,30277,1,0,0,0
30,Adams,42890,20696,9376,9482,0,18858,0,1,0,0
31,Adams,47998,24350,11501,11280,0,22781,1,0,0,0
32,Adams,37853,16820,9983,5678,0,15661,1,0,1,0
33,Boulder - Broomfield,60670,38129,18110,16004,2015,36129,1,0,0,0
34,Adams,45556,21980,11146,9164,0,20310,1,0,0,0
35,Adams,52873,28360,14417,11749,0,26166,1,0,0,0
36,Arapahoe,47618,24847,11881,11213,0,23094,1,0,0,0
37,Arapahoe,55870,35516,13834,19104,0,32938,0,1,0,0
38,Arapahoe,63688,44792,16009,25308,0,41317,0,1,0,1
39,Douglas - Teller,60406,39924,10661,26262,0,36923,0,1,0,1
40,Arapahoe,51679,28801,13815,11802,1318,26935,1,0,0,0
41,Arapahoe,49794,26936,13315,11431,0,24746,1,0,0,0
42,Arapahoe,37743,16453,10194,5175,0,15369,1,0,1,0
43,Douglas,58436,36800,12355,21266,0,33621,0,1,0,1
44,Douglas,60804,34829,9760,20719,2076,32555,0,1,0,1
45,Douglas,63852,39641,9602,25528,1821,36951,0,1,0,1
46,Pueblo,55995,32444,16243,14884,0,31127,1,0,0,0
47,Fremont - Otero - Pueblo,51856,29749,10059,18358,0,28417,0,1,0,1
48,Weld,55589,34064,0,23882,0,23882,0,1,0,1
49,Larimer - Weld,66269,45169,0,28707,0,28707,0,1,0,1
50,Weld,42441,17392,8322,7087,0,15409,1,0,0,0
51,Larimer,59922,38252,0,25129,0,25129,0,1,0,1
52,Larimer,61801,38783,19403,15774,0,35177,1,0,0,0
53,Larimer,61431,34565,18357,12277,0,30634,1,0,0,0
54,Delta - Mesa,56196,31289,6380,19018,4612,30010,0,1,0,1
55,Mesa,59684,31521,10125,20062,0,30187,0,1,0,1
56,Adams - Arapahoe,55962,35010,10629,20627,1439,32695,0,1,0,1
57,Garfield - Moffat - Rio Blanco,47233,27424,0,18218,5431,23649,0,1,0,1
58,Dolores - Montezuma - Montrose - San Miguel,53096,31088,0,21666,0,21666,0,1,0,1
59,Archuleta - Gunnison - Hinsdale - La Plata - Ouray - San Juan,64336,35875,17110,17280,0,34390,0,1,0,0
60,Chaffee - Custer - Fremont - Park,54046,34733,0,24837,1236,26073,0,1,0,1
61,Delta - Gunnison - Lake - Pitkin - Summit,66955,35491,17500,14455,1516,33471,1,0,0,0
62,Alamosa - Conejos - Costilla - Huerfano - Mineral - Pueblo - Rio Grande - Saguache,51563,29182,16419,11376,0,27795,1,0,0,0
63,Weld,54609,32189,9513,19754,0,29267,0,1,0,1
64,Baca - Bent - Crowley - Elbert - Kiowa - Las Animas - Lincoln - Prowers - Washington,50742,32670,0,23812,0,23812,0,1,0,1
65,Cheyenne - Kit Carson - Logan - Morgan - Phillips - Sedgwick - Yuma,45235,28753,0,22723,0,22723,0,1,0,1
