district,counties,democrat,republican,other
1,Arapahoe - Denver - Jefferson,198617,75821,11840
2,Boulder - Broomfield - Clear Creek - Eagle - Gilpin - Grand - Jefferson - Larimer - Park - Summit,202488,134104,17915
3,Alamosa - Archuleta - Conejos - Costilla - Custer - Delta - Dolores - Eagle - Garfield - Gunnison - Hinsdale - Huerfano - Jackson - La Plata - Lake - Mesa - Mineral - Moffat - Montezuma - Montrose - Ouray - Pitkin - Pueblo - Rio Blanco - Rio Grande - Routt - Saguache - San Juan - San Miguel,125990,144738,14341
4,Adams - Arapahoe - Baca - Bent - Boulder - Cheyenne - Crowley - Douglas - Elbert - Kiowa - Kit Carson - Las Animas - Lincoln - Logan - Morgan - Otero - Phillips - Prowers - Sedgwick - Washington - Weld - Yuma,105095,173901,13387
5,Chaffee - El Paso - Fremont - Park - Teller,90559,164174,14579
6,Adams - Arapahoe - Douglas,139169,130140,10652
7,Adams - Jefferson,144515,115317,14263
