district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
4,Douglas,148874,124615,41526,73832,3208,118566,0,1,0,1
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,116777,88619,41717,42701,0,84418,0,1,0,0
10,El Paso,117202,88327,32114,47463,4620,84197,0,1,0,0
12,El Paso,113458,81972,29656,45808,3048,78512,0,1,0,0
14,Larimer,129345,101583,63409,31724,0,95133,1,0,1,0
17,Boulder,122029,101457,65226,30848,19,96093,1,0,1,0
18,Boulder,120872,96815,75261,15524,0,90785,1,0,1,0
19,Jefferson,117364,97275,54694,37740,0,92434,1,0,0,0
21,Adams,96832,70199,41438,23769,0,65207,1,0,1,0
23,Broomfield - Larimer - Weld,164281,136714,58227,71570,0,129797,0,1,0,0
25,Adams,103877,77401,35968,37195,0,73163,0,1,0,0
26,Arapahoe,119350,93326,54275,32984,2366,89625,1,0,1,0
27,Arapahoe,116384,96105,51005,41222,0,92227,1,0,0,0
28,Arapahoe,113674,86236,51028,31387,0,82415,1,0,1,0
29,Arapahoe,104282,74258,45828,0,20914,66742,1,0,1,0
31,Arapahoe - Denver,132962,103512,74288,22562,0,96850,1,0,1,0
33,Denver,127344,93625,75702,0,7482,83184,1,0,1,0
