district,counties,registered_voters,ballots_cast,democrat,republican,other,total,dem_winner,rep_winner,landslide_d,landslide_r
4,Douglas,107780,83296,24968,50173,3437,78578,0,1,0,1
8,Garfield - Grand - Jackson - Moffat - Rio Blanco - Routt - Summit,107256,71685,29688,34187,3079,66954,0,1,0,0
10,El Paso,105309,73242,0,44200,15976,60176,0,1,0,1
12,El Paso,91946,62311,0,34673,16365,51038,0,1,0,1
14,Larimer,120173,85861,46673,28874,4994,80541,1,0,0,0
17,Boulder,103923,79217,45426,23983,3848,73257,1,0,1,0
18,Boulder,134182,93664,66619,18427,0,85046,1,0,1,0
19,Jefferson,106702,80344,35664,35080,5104,75848,1,0,0,0
21,Adams,77491,51314,30308,16373,0,46681,1,0,1,0
22,Jefferson,107431,79017,38845,35008,0,73853,1,0,0,0
23,Broomfield - Larimer - Weld,109044,83372,34252,43949,0,78201,0,1,0,0
25,Adams,80382,54446,27961,20310,2461,50732,1,0,0,0
26,Arapahoe,102674,77439,38744,32890,0,71634,1,0,0,0
27,Arapahoe,104212,83681,34957,42411,0,77368,0,1,0,0
28,Arapahoe,92720,68427,37181,24475,2459,64115,1,0,0,0
29,Arapahoe,80191,55271,30149,18745,2420,51314,1,0,0,0
31,Arapahoe - Denver,137037,87063,54390,23425,0,77815,1,0,1,0
32,Denver,116185,76972,47995,20505,0,68500,1,0,1,0
33,Denver,109426,68795,51357,8456,2579,62392,1,0,1,0
35,Alamosa - Baca - Bent - Conejos - Costilla - Crowley - Custer - Huerfano - Kiowa - Las Animas - Mineral - Otero - Prowers - Pueblo - Rio Grande - Saguache,92808,65762,29618,31117,2461,63196,0,1,0,0
